Temp.,Cuartel,Variedad,Yemas/Dardo,Flores/Yema/Dardo,Flores/Dardo,Daño (%)
2017,A4,REGINA,7.0,3.54,24.9,3%
2017,D1,REGINA,6.9,3.68,25.4,5%
2017,D2,REGINA,6.8,3.34,22.5,0%
2017,D5,SKEENA,6.2,2.45,15.3,6%
2017,D6 KGB,REGINA,7.8,3.37,26.3,4%
2017,D6 V,REGINA,7.1,3.75,26.7,0%
2017,E1,REGINA,7.3,3.82,27.9,2%
2017,E2,LAPINS,6.1,3.31,20.2,1%
2017,E2,REGINA,7.6,3.46,26.3,1%
2017,E3,LAPINS,5.7,3.20,18.3,5%
2017,E3,REGINA,7.3,3.27,23.8,4%
2017,E4 EJE,LAPINS,5.8,3.58,20.9,1%
2017,E4 V,LAPINS,6.6,3.17,21.0,5%
2017,E5 E,LAPINS,5.7,3.19,18.1,3%
2017,E5 V,LAPINS,6.0,2.94,17.5,6%
2017,E5-2,LAPINS,6.7,3.12,21.0,5%
2017,E6 E,LAPINS,5.8,2.99,17.3,5%
2017,P-16,REGINA,7.3,3.33,24.4,3%
2018,A4,REGINA,7.2,3.58,25.9,1%
2018,D1,REGINA,7.5,3.56,26.8,1%
2018,D2,REGINA,7.8,3.66,28.5,3%
2018,D5,SKEENA,5.7,2.55,14.5,0%
2018,D6 KGB,REGINA,7.0,3.52,24.6,1%
2018,D6 V,REGINA,7.0,3.32,23.4,2%
2018,E1,REGINA,7.0,3.54,24.9,0%
2018,E2,LAPINS,6.8,3.45,23.4,0%
2018,E2,REGINA,6.9,3.77,25.9,3%
2018,E3,LAPINS,6.6,3.56,23.5,0%
2018,E3,REGINA,7.6,3.23,24.5,2%
2018,E4 EJE,LAPINS,6.5,3.22,20.8,4%
2018,E4 V,LAPINS,6.0,3.56,21.4,3%
2018,E5 E,LAPINS,6.3,3.35,21.2,0%
2018,E5 V,LAPINS,6.7,3.54,23.8,5%
2018,E5-2,LAPINS,5.9,3.21,18.8,0%
2018,P-16,REGINA,7.1,3.67,26.1,2%
2019,A4,REGINA,6.9,3.70,25.6,2%
2019,C1,REGINA,7.2,3.61,26.1,0%
2019,D1,REGINA,7.0,3.45,24.3,4%
2019,D2,REGINA,7.7,3.55,27.2,2%
2019,D3,REGINA,7.6,3.60,27.4,0%
2019,D5,SKEENA,6.0,3.07,18.3,0%
2019,D6 KGB,REGINA,6.9,3.64,25.0,2%
2019,D6 V,REGINA,7.5,3.69,27.7,5%
2019,E1,REGINA,7.1,3.40,24.0,5%
2019,E2,LAPINS,5.6,3.44,19.2,6%
2019,E2,REGINA,7.0,3.29,22.9,5%
2019,E3,LAPINS,6.2,3.46,21.5,0%
2019,E3,REGINA,7.2,3.32,23.9,3%
2019,E4 EJE,LAPINS,5.8,3.11,18.1,5%
2019,E4 V,LAPINS,5.7,3.12,18.0,2%
2019,E5,LAPINS,6.5,3.45,22.5,1%
2019,E5 E,LAPINS,6.1,3.22,19.8,0%
2019,E5 V,LAPINS,6.5,3.02,19.6,4%
2019,E5-2,LAPINS,6.4,3.21,20.6,0%
2019,E6 E,LAPINS,6.2,3.56,22.1,4%
2019,P-16,REGINA,7.0,3.51,24.6,0%
2020,A4,REGINA,6.7,3.61,24.2,0%
2020,C1,REGINA,7.0,3.23,22.7,4%
2020,D1,REGINA,7.6,3.27,24.8,0%
2020,D2,REGINA,7.7,3.63,28.0,2%
2020,D3,REGINA,7.4,3.70,27.4,0%
2020,D5,SKEENA,6.3,2.91,18.4,5%
2020,D6 KGB,REGINA,7.5,3.29,24.9,3%
2020,D6 V,REGINA,6.8,3.51,23.7,5%
2020,E1,REGINA,7.0,3.51,24.7,0%
