"Category";"Porciones Frío Diarias";"Porciones Frío Acumuladas";"Acumuladas Año Anterior"
"01-04";;;
"02-04";;;
"03-04";;;
"04-04";;;
"05-04";;;
"06-04";;;
"07-04";;;
"08-04";;;
"09-04";;;
"10-04";;;
"11-04";1,016;;
"12-04";;;
"13-04";;;
"14-04";0,1055;;
"15-04";1,007;;
"16-04";1,0085;;
"17-04";;;
"18-04";;;
"19-04";0,4963;;
"20-04";;;
"21-04";;;
"22-04";;;
"23-04";;;
"24-04";;;
"25-04";;;
"26-04";1,0143;;
"27-04";;;
"28-04";1,0098;;
"29-04";;;
"30-04";1,0108;;
"01-05";1,0177;;
"02-05";;;
"03-05";0,8667;;
"04-05";;;
"05-05";0,956;;
"06-05";1,0025;;
"07-05";;;
"08-05";1,0053;;
"09-05";;;
"10-05";;;
"11-05";;;
"12-05";1,0081;;
"13-05";;;
"14-05";0,9997;;
"15-05";;;
"16-05";0,8982;;
"17-05";1,0005;;
"18-05";;;
"19-05";1,0033;;
"20-05";1,0008;;
"21-05";;;
"22-05";0,3837;;
"23-05";0,7069;;
"24-05";0,8845;;
"25-05";0,9923;;
"26-05";;;
"27-05";1,0103;;
"28-05";1,3145;;
"29-05";;;
"30-05";;;
"31-05";0,9877;;
"01-06";0,4252;;
"02-06";1,3853;;
"03-06";;;
"04-06";0,9908;;
"05-06";1,0105;;
"06-06";1,0156;;
"07-06";;;
"08-06";1,1772;;
"09-06";0,2115;;
"10-06";1,3524;;
"11-06";;;
"12-06";1,016;;
"13-06";1,0124;;
"14-06";1,0043;;
"15-06";1,0039;;
"16-06";;;
"17-06";1,0173;;
"18-06";0,9216;;
"19-06";0,6636;;
"20-06";1,2575;;
"21-06";;;
"22-06";1,013;;
"23-06";1,145;;
"24-06";0,9872;;
"25-06";;;
"26-06";1,3173000000000001;;
"27-06";0,0578;;
"28-06";0,7067;;
"29-06";0,7825;;
"30-06";0,7081069366;;
"01-07";0,5258999999999999;;
"02-07";0,4653;;
"03-07";0,8232;;
"04-07";0,9217;;
"05-07";;;
"06-07";1,0019;;
"07-07";1,0104;;
"08-07";1,0122;;
"09-07";;;
"10-07";0,6826;;
"11-07";0,7812;;
"12-07";1,0319;;
"13-07";0,5396;;
"14-07";0,9629;;
"15-07";0,7389;;
"16-07";0,6491;;
"17-07";0,9977;;
"18-07";0,9999;;
"19-07";;;
"20-07";1,0051;;
"21-07";0,7458;;
"22-07";0,9505;;
"23-07";;;
"24-07";0,8744;;
"25-07";1,0051;;
"26-07";1,0076;;
"27-07";;;
"28-07";1,0053;;
"29-07";;;
"30-07";;;
"31-07";;;
"01-08";;;
